permaticker,last_trade_date,event_type,in_core,in_clones,in_phaseF,evidence_required
188461,2010-08-27,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188972,2010-11-16,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188815,2011-02-25,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188670,2011-02-28,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188852,2011-02-28,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196854,2011-03-31,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188727,2011-04-08,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188604,2011-04-27,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188853,2011-05-31,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188840,2011-07-05,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188085,2011-09-23,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188644,2011-10-13,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188681,2011-12-09,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188440,2012-03-12,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188220,2012-03-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196656,2013-05-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199654,2013-06-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198249,2013-10-29,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194415,2013-11-12,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199520,2013-12-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196469,2014-02-03,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198507,2014-04-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198946,2014-05-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199710,2014-06-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194188,2015-01-26,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199378,2015-01-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198027,2015-03-11,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
193275,2015-03-16,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198103,2015-03-16,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
193634,2015-06-11,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197505,2015-06-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195722,2015-07-01,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
191963,2015-07-02,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199736,2015-07-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
193222,2015-07-24,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199445,2015-08-28,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195268,2015-09-02,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197442,2015-10-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199354,2015-11-18,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
116543,2015-12-11,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198590,2015-12-24,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
