event_id,evaluation_window,formation_date,deploy_date,scheduled_exit_date,permaticker,historical_ticker,company_name,cik,raw_action,raw_action_date,raw_value,raw_contraticker,raw_contraname,last_trade_date,event_type,clone_lot_hits,affected_clone_count,first_clone_id,source_row_ids,policy_target_branch,evidence_required,manual_review_priority,evidence_status,data_vintage_id,content_hash
7a3d5c06bb37ab67,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,167927,GDW,GOLDEN WEST FINANCIAL CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-09-29,23875.8,N/A,N/A,2006-09-29,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=167927,date=2006-09-29",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,2d093dd7a2e21b72
c99884fc14da15a9,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,184651,KMG1,KERR MCGEE CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-08-09,16025.2,N/A,N/A,2006-08-09,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=184651,date=2006-08-09",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,276fd7fe7ba4226f
ce1897042c7d9f41,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,185389,CHIR1,CHIRON CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2006-04-19,9459.5,NVS,NOVARTIS AG,2006-04-19,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185389,date=2006-04-19",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,d0e89d4ddeabbfa2
123780208b6cdc3e,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,185403,KRI,KNIGHT RIDDER INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-06-27,4064.9,N/A,N/A,2006-06-27,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185403,date=2006-06-27",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,54c05a11d677da00
54d2d61368d66a4d,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,185413,EC1,ENGELHARD CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-06-09,4834.0,N/A,N/A,2006-06-09,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185413,date=2006-06-09",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,d3b2176c5be17869
15f7d97af876c339,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,185415,ABS,ALBERTSONS INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2006-06-01,9539.7,SVU,SUPERVALU INC,2006-06-01,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185415,date=2006-06-01",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,e05f53103d8f4f7e
b450c20d1c5d8734,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-03-31,2006-04-03,2006-10-02,185418,GDT1,GUIDANT CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-04-21,27142.3,N/A,N/A,2006-04-21,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=185418,date=2006-04-21",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,31f93f6e8db8e92a
6d3430b9d1efd9e1,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-06-30,2006-07-03,2007-01-03,115105,HCA1,HCA HEALTHCARE INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-11-17,19811.0,N/A,N/A,2006-11-17,DELISTED_OTHER,0,0,,"actions_clean.parquet:permaticker=115105,date=2006-11-17",unverified_ma,SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,01e87facb9cbd184
b2afe15befb711da,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-06-30,2006-07-03,2007-01-03,167927,GDW,GOLDEN WEST FINANCIAL CORP,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,delisted,2006-09-29,23875.8,N/A,N/A,2006-09-29,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=167927,date=2006-09-29",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,aafc51f6405899d7
a328732fa753a741,PHASEF_2006_2015_POSSIBLE_ELIGIBLE_UNIVERSE_ONLY,2006-06-30,2006-07-03,2007-01-03,176978,NFB,NORTH FORK BANCORPORATION INC,NOT_IN_VENDOR_DATA_REQUIRES_SEC_LOOKUP,acquisitionby,2006-11-30,13090.1,COF,CAPITAL ONE FINANCIAL CORP,2006-11-30,ACQUIRED,0,0,,"actions_clean.parquet:permaticker=176978,date=2006-11-30",cash_acquisition|stock_acquisition|mixed_acquisition (UNDETERMINED),SEC 8-K Item 2.01 (completion) or Item 1.03 (bankruptcy); merger agreement consideration + exchange ratio; equity recovery,P4_CONTINGENT_SEALED_PERIOD,PENDING_TRANSACTION_EVIDENCE_SEALED_PERIOD_NO_SELECTION_KNOWN,SHARADAR_20260620,42bfe2ab9279f308
