formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,note
2008-06-30,188897,2008-07-01,2009-01-02,2008-10-15,BANKRUPTCY_LIQUIDATION,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-06-30,198719,2008-07-01,2009-01-02,2008-07-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-06-30,199543,2008-07-01,2009-01-02,2008-12-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,173407,2008-10-01,2009-04-01,2008-12-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,173408,2008-10-01,2009-04-01,2008-11-21,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,180382,2008-10-01,2009-04-01,2008-10-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,183067,2008-10-01,2009-04-01,2008-11-13,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,185392,2008-10-01,2009-04-01,2008-12-22,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,185395,2008-10-01,2009-04-01,2009-01-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,185400,2008-10-01,2009-04-01,2008-11-17,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,185412,2008-10-01,2009-04-01,2008-12-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,185417,2008-10-01,2009-04-01,2008-12-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,198356,2008-10-01,2009-04-01,2009-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-09-30,199543,2008-10-01,2009-04-01,2008-12-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-12-31,178636,2009-01-02,2009-07-01,2009-04-01,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-12-31,180415,2009-01-02,2009-07-01,2009-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-12-31,185395,2009-01-02,2009-07-01,2009-01-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-12-31,198356,2009-01-02,2009-07-01,2009-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-03-31,178636,2009-04-01,2009-10-01,2009-04-01,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-03-31,180415,2009-04-01,2009-10-01,2009-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-03-31,185396,2009-04-01,2009-10-01,2009-08-18,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-06-30,116371,2009-07-01,2010-01-04,2009-12-09,BANKRUPTCY_LIQUIDATION,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-06-30,165457,2009-07-01,2010-01-04,2009-11-03,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-06-30,185396,2009-07-01,2010-01-04,2009-08-18,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-06-30,188818,2009-07-01,2010-01-04,2009-10-15,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,165457,2009-10-01,2010-04-01,2009-11-03,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,185398,2009-10-01,2010-04-01,2010-02-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,185406,2009-10-01,2010-04-01,2010-01-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,185568,2009-10-01,2010-04-01,2010-02-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,186663,2009-10-01,2010-04-01,2010-03-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,188300,2009-10-01,2010-04-01,2010-02-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,188818,2009-10-01,2010-04-01,2009-10-15,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-09-30,197312,2009-10-01,2010-04-01,2010-02-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,185398,2010-01-04,2010-07-01,2010-02-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,185406,2010-01-04,2010-07-01,2010-01-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,185568,2010-01-04,2010-07-01,2010-02-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,186663,2010-01-04,2010-07-01,2010-03-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,188300,2010-01-04,2010-07-01,2010-02-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,188317,2010-01-04,2010-07-01,2010-04-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,188657,2010-01-04,2010-07-01,2010-06-25,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2009-12-31,197312,2010-01-04,2010-07-01,2010-02-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-03-31,187943,2010-04-01,2010-10-01,2010-07-14,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-03-31,188317,2010-04-01,2010-10-01,2010-04-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-03-31,188461,2010-04-01,2010-10-01,2010-08-27,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-03-31,188657,2010-04-01,2010-10-01,2010-06-25,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-06-30,187943,2010-07-01,2011-01-03,2010-07-14,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-06-30,188461,2010-07-01,2011-01-03,2010-08-27,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-06-30,188972,2010-07-01,2011-01-03,2010-11-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-09-30,188670,2010-10-01,2011-04-01,2011-02-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-09-30,188815,2010-10-01,2011-04-01,2011-02-25,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-09-30,188852,2010-10-01,2011-04-01,2011-02-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-09-30,188972,2010-10-01,2011-04-01,2010-11-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-09-30,196854,2010-10-01,2011-04-01,2011-03-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,188604,2011-01-03,2011-07-01,2011-04-27,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,188670,2011-01-03,2011-07-01,2011-02-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,188727,2011-01-03,2011-07-01,2011-04-08,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,188815,2011-01-03,2011-07-01,2011-02-25,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,188853,2011-01-03,2011-07-01,2011-05-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2010-12-31,196854,2011-01-03,2011-07-01,2011-03-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-03-31,188085,2011-04-01,2011-10-03,2011-09-23,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-03-31,188604,2011-04-01,2011-10-03,2011-04-27,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-03-31,188727,2011-04-01,2011-10-03,2011-04-08,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-03-31,188840,2011-04-01,2011-10-03,2011-07-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-03-31,188853,2011-04-01,2011-10-03,2011-05-31,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-06-30,188085,2011-07-01,2012-01-03,2011-09-23,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-06-30,188644,2011-07-01,2012-01-03,2011-10-13,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-06-30,188681,2011-07-01,2012-01-03,2011-12-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-06-30,188840,2011-07-01,2012-01-03,2011-07-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-09-30,188220,2011-10-03,2012-04-02,2012-03-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-09-30,188440,2011-10-03,2012-04-02,2012-03-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-09-30,188644,2011-10-03,2012-04-02,2011-10-13,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2011-09-30,188681,2011-10-03,2012-04-02,2011-12-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2012-12-31,196656,2013-01-02,2013-07-01,2013-05-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2012-12-31,199654,2013-01-02,2013-07-01,2013-06-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-09-30,194415,2013-10-01,2014-04-01,2013-11-12,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-09-30,196469,2013-10-01,2014-04-01,2014-02-03,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-09-30,198249,2013-10-01,2014-04-01,2013-10-29,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2013-09-30,199520,2013-10-01,2014-04-01,2013-12-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
